path_to_object,start_date,end_date_time,duration,PM_name,index,value
"ManagedElement=LNSK207,NodeSupport=1,ConsumedEnergyMeasurement=1",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmConsumedEnergy,0,851
"ManagedElement=LNSK207,Equipment=1,FieldReplaceableUnit=4,EnergyMeter=1",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmConsumedEnergy,0,32
"ManagedElement=LNSK207,Equipment=1,FieldReplaceableUnit=RRU-1,EnergyMeter=1",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmConsumedEnergy,0,59
"ManagedElement=LNSK207,Equipment=1,FieldReplaceableUnit=RRU-10,EnergyMeter=1",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmConsumedEnergy,0,34
"ManagedElement=LNSK207,Equipment=1,FieldReplaceableUnit=RRU-11,EnergyMeter=1",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmConsumedEnergy,0,35
"ManagedElement=LNSK207,Equipment=1,FieldReplaceableUnit=RRU-12,EnergyMeter=1",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmConsumedEnergy,0,38
"ManagedElement=LNSK207,Equipment=1,FieldReplaceableUnit=RRU-13,EnergyMeter=1",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmConsumedEnergy,0,56
"ManagedElement=LNSK207,Equipment=1,FieldReplaceableUnit=RRU-14,EnergyMeter=1",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmConsumedEnergy,0,52
"ManagedElement=LNSK207,Equipment=1,FieldReplaceableUnit=RRU-15,EnergyMeter=1",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmConsumedEnergy,0,60
"ManagedElement=LNSK207,Equipment=1,FieldReplaceableUnit=RRU-16,EnergyMeter=1",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmConsumedEnergy,0,36
"ManagedElement=LNSK207,Equipment=1,FieldReplaceableUnit=RRU-17,EnergyMeter=1",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmConsumedEnergy,0,39
"ManagedElement=LNSK207,Equipment=1,FieldReplaceableUnit=RRU-18,EnergyMeter=1",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmConsumedEnergy,0,49
"ManagedElement=LNSK207,Equipment=1,FieldReplaceableUnit=RRU-19,EnergyMeter=1",2023-02-21T01:30:00+00:00,2023-02-21T01:45:00+00:00,900,pmConsumedEnergy,0,50
